Name,Category,Price,SKU,Brand,images
Polo Masculina Tricôt Napole - Bege,Polo Masculina Tricôt Napole - Bege,"
                    R$289,00                
                    R$130,90                ",114713_CREME,SPIRITO SANTO,"https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/img_1336_1_13.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/i/m/img_1336_1_13.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/l/o/look_82_27.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/0/4/048a6941_6.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/0/4/048a6942_5.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/0/4/048a6943_5.jpg"
Polo Masculina Interlock Nec - Bege,Polo Masculina Interlock Nec - Bege,"R$799,00",11223501.52152_LISAREMD,RICARDO ALMEIDA,"https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/0/e06_22_11_210191.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/e/0/e06_22_11_210191.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/i/m/img_9880_1_41.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/i/m/img_9877_1_48.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/i/m/img_9878_1_53.jpg
https://d1i2p15dhfw94q.cloudfront.net/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/i/m/img_9879_72.jpg"
